タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
けものがいる,,2023年/フランス・カナダ/2h26,監督・脚本・音楽：ベルトラン・ボネロ『SAINT LAURENT サンローラン』 製作・声：グザヴィエ・ドラン 出演：レア・セドゥ、ジョージ・マッケイ,AIが社会の中心になった2044年のパリに住む主人公は、DNAに刻まれた前世の不都合な記憶を浄化するため、100年以上前の過去へと遡ることになる。,7/19(土)～7/25(金) 15:50～(終18：20),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
ミゼリコルディア,,2024/フランス/1h43,監督・脚本：アラン・ギロディ 出演：フェリックス・キシル、カトリーヌ・フロ、ジャン=バティスト・デュラ、ジャック・ドゥヴレイ,秋、紅葉が美しく、石造りの家が建ち並ぶ村。ジェレミーは、かつて働いていたパン屋の店主の葬儀に参列するため帰郷する。男の未亡人マルティーヌの勧めで家に一泊だけすることになるが、思いのほか長引く滞在。そんな中、起きた謎の失踪事件——。未亡人の息子ヴァンサン、音信不通となっていたかつての親友ワルター、奇妙な神父フィリップ、そして、村の秘密を知っている警官。村に立ち込めるそれぞれの思惑と欲望。,7/19(土)、23(水)、24(木) 18:30〜(終20:18) 7/20(日)、22(火)、25(金) 20:30〜(終22:18),,,
ノーバディーズ・ヒーロー,,2022年/フランス/1h40,監督・脚本：アラン・ギロディ 出演：ジャン＝シャルル・クリシェ、ノエミ・ルヴォウスキー、イリエス・カドリ,冬、クリスマス前、師走の街。独身男性のメデリックは、ランニング中に見ず知らずの売春婦イザドラに一目惚れし口説くが、嫉妬深い夫の乱入で邪魔をされる。同時に市街では大規模なテロが発生—— 突然メデリックのアパートに現れたアラブ系の青年セリム、仕事とプライベートの区別がないフロランス、混乱する近隣住人たちとホテルフロントの老人と少女。愛に突き進むメデリックの周りで発生する予期せぬトラブルが周辺を巻き込んでゆく。,7/19(土)、24(木) 20:30〜(終22:15) 7/21(月・祝) 18:30〜(終20:15),,,
湖の見知らぬ男,,2013年/フランス/1h40,監督・脚本：アラン・ギロディ 出演：ピエール・ドゥラドンシャン、クリストフ・パウ、パトリック・ダスマサオ,夏、美しくブルーに輝く湖。ここは男性同士が出会うためのクルージングスポットになっている。ヴァカンス中に訪れた若い青年フランクは魅力的なミシェルと出会い恋に落ちる。ある夕方、フランクは湖で喧嘩する2人を目撃する。その数日後、ミシェルの恋人だった男性が溺死体で発見された。捜査の手が入った男たちの楽園は一転して不穏な空気が立ち込める。情熱が恐怖を上回る瞬間、自らの欲望に身を任せてゆく——。,7/20(日)、22(火)、25(金) 18:30〜(終20:15) 7/21(月・祝)、23(水) 20:30〜(終22:15),,,
104歳、哲代さんのひとり暮らし,,2024年/日本/1h34,監督・編集：山本和宏 ナレーション：リリー・フランキー,尾道市の山あいの町で、100歳を越えてひとり暮らしを続ける哲代さん。老いてなお、ごきげんな哲代さんの心も体もさびない生き方をみつめたドキュメンタリー。,7/26(土)～8/1(金) 9:30～(終11：09),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
来し方 行く末,,2023年/中国/1h59,監督・脚本：リウ・ジアイン 出演：フー・ゴー、ウー・レイ,脚本家として芽が出ず、弔辞の代筆業で生計を立てるウェン。様々な依頼主との交流を通して、彼の心に変化が生じ…。人生の回り道を優しく包むヒューマンドラマ。,7/26(土)～8/1(金) 11:25～(終13：29),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,上海国際映画祭 最優秀監督賞＆男優賞,
片思い世界,,2025年/日本/2h06,監督：土井裕泰 脚本：坂元裕二『花束みたいな恋をした』 出演：広瀬すず、杉咲花、清原果耶、横浜流星、小野花梨,とある理由から強い絆で結ばれてきた美咲、優花、さくらの3人。それぞれが抱える究極の片思いとはー。悩みながらも誰かを思い続ける彼女たちの希望の物語。,7/26(土)～8/1(金) 13:45～(終15：55),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
Flow,,2024年/ラトビア・フランス・ベルギー/1h25,監督・製作・脚本・撮影・編集：ギンツ・ジルバロディス,世界が大洪水に包まれ、旅立つ決意した一匹の猫。ボートに乗り合わせた動物たちと危機を乗り越えー。セリフなしで描く、想像を超える冒険アニメーション。,7/26(土)～8/1(金) 16:05～(終17：35),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,★先着でぬりえカードプレゼント！（数量限定）
ひろしま,,1953年/日本/1h44,監督：関川秀雄 原作：長田新 出演：岡田英次,実際の被爆者の手記を原作に、原爆の惨状をリアルに描く。被爆から8年後、約9万人の広島市民がエキストラとして参加した、魂の訴えが込められた衝撃作。,8/2(土)～8/8(金) 9:30～(終11:19),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,ベルリン国際映画祭 長編映画賞,
ゲッベルスヒトラーをプロデュースした男,,2024年/ドイツ・スロバキア/2h08/PG12,監督:ヨアヒム・A・ラング,ヒトラーを英雄に仕立て上げ、大量虐殺に国民を加担させた、ナチスの宣伝大臣ヨーゼフ・ゲッベルス。プロパガンダの天才と呼ばれた驚愕の手法が明かされる。,8/2(土)～8/8(金) 11:35～(終13:48),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
