タイトル,特集名,制作年/国/時間,監督/出演,概要,上映スケジュール,料金,受賞歴,イベント情報
夜来風雨の声,,2008年/日本//1h14,監督・編集・撮影：五十嵐耕平 出演：稲葉雄介、天野祐子,天野と稲葉、若い二人は一緒に暮らしている。稲葉が仕事を失っていたために二人の生活は厳しかった。それでも彼は仕事をせずに、夜になれば外を歩き回っている。友人に会ってちょっと奢ってもらったり、煙草売りに詩を教わったり。でも天野は何も言わない。稲葉のことをただ見守っているのだった。そんなあるとき、稲葉は友人に「病院で良い仕事がある」と聞かされる。東京造形大学の３年次に制作した初長編作品。※英語字幕版での上映となります,2/22(土)、26(水）20：40〜(終21：59) 2/24(月・祝)19：00〜(終20：19),,,
水魚之交,,2023年/日本・フランス/0h19,監督・編集・脚本：五十嵐耕平 出演：佐野弘樹、宮田佳典,海の見えるホテルに旅行に来た幼馴染の佐野と宮田。宮田の携帯が鳴り続け、しびれを切らした佐野はその電話に出るのだが......。最新作『SUPER HAPPY FOREVER』のパイロットフィルムの位置付けで製作された短編。ストーリーは異なるながらも、佐野や宮田といったキャラクター、ホテルの舞台設定などが共通しており、本作は長編のイメージを発展させていくにあたり、重要な役割を果たしたといえる,,,,
豆腐の家,,2013年/日本//0h38,監督・脚本：五十嵐 耕平 出演：谷口蘭、石田法嗣、足立智充、嶺豪一、鈴木卓爾,結婚と同時に新居に暮らし始めた陽一と絹子。二人は真っ白な壁と絹子の名前にちなんで豆腐の家と名付ける。陽一は就職も 決まり、これからあたたかな結婚生活が始まるはずだった。しかし食事はいつも豆腐しか出さないなど、自由奔放な絹子に振り回され、仕事のストレスも重なり、徐々に陽一は精神を病んでいく。そのうち絹子は「豆腐の家が腐って来ている」と言い始める。ふみふみこによる同名漫画を原作としたオムニバス映画『恋につきもの』の一編。,,,,
メルヒェン,,2012年/日本/0h30,監督：五十嵐耕平 出演：一瀬小百合、佐藤憲太郎、のぼ,マキとナオは別れたばかり。気持ちは既に離れているものの、ずっと同棲していた二人の距離感はすぐには変わらない。風邪をひいたナオの家で、マキはついつい犬の世話や家事を引き受けてしまう。ナオの部屋で二人と一匹のおかしな掛け合いがあり、夜が更けていく。東京藝術大学大学院の１年次実習作品として製作された短編。,『水魚之交』『豆腐の家』『メルヒェン』短編3本立て上映,,,
フード・インク ポスト・コロナ,,2023年/アメリカ/1h34,監督：ロバート・ケナー、メリッサ・ロブレド,,3/1(土)～3/7(金) 9：30～(終11：09),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
チネチッタで会いましょう,,2023年/イタリア・フランス/1h36,監督・出演:ナンニ・モレッティ,,3/1(土)～3/7(金) 11：25～(終13：05),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,カンヌ国際映画 コンペティション部門正式上映出品,
本心,,2024年/日本/2h02,監督・脚本：石井裕也『舟を編む』 原作：平野啓一郎 出演：池松壮亮、三吉彩花、水上恒司、仲野太賀、田中泯、綾野剛、妻夫木聡,,3/1(土)～3/7(金) 13：20～(終15：27),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
市民捜査官ドッキ,,2024年/韓国/1h54,監督・脚本：パク・ヨンジュ 出演：ラ・ミラン、コンミョン、ヨム・ヘラン,,3/1(土)～3/7(金) 15：45～(終17：44),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
ザ・バイクライダーズ,,2023年/アメリカ/1h56,監督：ジェフ・ニコルズ 出演：オースティン・バトラー、ジョディ・カマー、トム・ハーディ、マイケル・シャノン、マイク・ファイスト,,3/1(土)～3/7(金) 17：55～(終19：56),一般1700円 / 大学・専門1300円 / シニア1100円 / 小・中・高1000円 / 会員990円,,
アウトサイダー コンプリート・ノベル 4Kレストア版,,1983年/アメリカ/1h54/PG12,監督：フランシス・フォード・コッポラ 出演：C・トーマス・ハウエル、マット・ディロン、 ラルフ・マッチオ、パトリック・スウェイジ,オクラホマ州タルサ。14歳のポニーボーイは東側に住む貧民階級のワルたちとつるんでいる。西側には金持ちたちが住んでいて、彼らが遭遇すればいつも喧嘩が勃発。ポニーボーイは、2歳上のジョニー、リーダー格のダラスと行動していた。その夜もいつもの喧嘩のはずであった…。 長く愛される原作小説に、より忠実なものへと再編集したものが本バージョン「アウトサイダー コンプリートノベル」となる。その後再編集の機会を与えられた際もコッポラ自身が「これこそが完全版」と認め、今回はその4Kレストア版での上映。,3/1(土)、3(月)、5(水)、7(金)20：10〜(終22：09),,,
